Customer_ID,Monetary_Score,Behaviour_Score,Credit_Avail_Score,Score_weighted_50_35_15,Score_weighted_40_40_20,Score_weighted_40_35_25
CUS_0x1000,25.0,31.125,27.0,137.21875,139.25,138.21875
CUS_0x1009,24.375,45.0,36.0,166.6875,174.75,172.5
CUS_0x100b,21.375,42.0,46.0,161.4375,172.75,173.75
CUS_0x1011,21.375,38.625,33.0,145.78125,153.0,151.59375
CUS_0x1013,23.75,49.75,47.0,181.6875,194.0,193.3125
CUS_0x1015,24.5,37.25,32.0,150.4375,155.5,154.1875
CUS_0x1018,23.75,36.5,20.0,138.25,140.5,136.375
CUS_0x1026,23.875,56.875,45.0,192.96875,206.5,203.53125
CUS_0x102d,23.75,49.5,46.0,180.5,192.5,191.625
CUS_0x102e,25.0,36.625,41.0,157.34375,164.25,165.34375
CUS_0x1032,23.875,42.25,32.0,157.625,164.25,161.6875
CUS_0x1037,29.625,55.25,48.0,206.75,217.75,215.9375
CUS_0x1038,24.25,41.125,36.0,159.59375,166.75,165.46875
CUS_0x103e,23.875,52.375,42.0,182.84375,194.5,191.90625
CUS_0x1041,18.375,37.875,20.0,127.21875,132.5,128.03125
CUS_0x1044,25.125,50.0,44.0,183.3125,194.25,192.75
CUS_0x1048,23.875,40.875,29.0,152.96875,158.5,155.53125
CUS_0x104a,28.375,61.25,45.0,211.875,224.25,220.1875
CUS_0x104e,26.25,52.125,35.0,183.09375,191.75,187.46875
CUS_0x104f,27.875,40.875,32.0,165.21875,169.5,167.28125
CUS_0x1051,24.875,55.0,46.0,192.9375,205.75,203.5
CUS_0x1056,26.875,38.625,30.0,157.28125,161.0,158.84375
CUS_0x1057,23.875,49.5,39.0,175.5625,185.75,183.125
CUS_0x105b,25.75,45.375,36.0,170.78125,178.25,175.90625
CUS_0x105c,33.5,57.0,45.0,217.25,226.0,223.0
CUS_0x1063,31.0,37.875,33.0,168.53125,170.75,169.53125
CUS_0x1069,21.25,44.75,35.0,157.6875,167.0,164.5625
CUS_0x106f,41.0,47.875,42.0,217.78125,219.75000000000003,218.28125
CUS_0x1075,22.0,49.625,45.0,175.59375,188.25,187.09375
CUS_0x107c,23.875,40.25,26.0,149.625,154.25,150.6875
CUS_0x107e,21.0,37.875,33.0,143.53125,150.75,149.53125
CUS_0x1087,24.625,55.5,45.0,192.4375,205.25000000000003,202.625
CUS_0x108a,23.5,34.875,16.0,131.78125,132.75,128.03125
CUS_0x1096,27.75,43.125,35.0,171.09375,176.75,174.71875
CUS_0x1098,23.0,45.0,35.0,162.5,171.0,168.5
CUS_0x109b,25.375,49.125,39.0,178.65625,188.0,185.46875
CUS_0x109d,24.0,38.0,22.0,143.0,146.0,142.0
CUS_0x109f,25.125,50.375,43.0,183.21875,194.0,192.15625
CUS_0x10a9,27.75,43.0,40.0,174.625,181.5,180.75
CUS_0x10aa,24.375,43.375,45.0,170.59375,180.5,180.90625
CUS_0x10ac,27.875,48.25,38.0,182.625,190.25,187.6875
CUS_0x10b3,39.875,58.75,42.0,234.0,239.25,235.0625
CUS_0x10b6,27.75,50.375,40.0,187.53125,196.25000000000003,193.65625
CUS_0x10bb,24.0,56.125,36.0,185.21875,196.25000000000003,191.21875
CUS_0x10c0,24.375,33.375,29.0,141.09375,144.5,143.40625
CUS_0x10c5,37.875,58.375,43.0,229.09375,235.5,231.65625
CUS_0x10d7,24.125,37.0,21.0,140.8125,143.25,139.25
CUS_0x10dd,25.625,46.25,43.0,177.25,186.75,185.9375
CUS_0x10df,27.375,39.625,33.0,162.53125,167.0,165.34375
CUS_0x10e2,24.25,36.5,22.0,141.0,143.5,139.875
CUS_0x10e7,24.125,43.875,28.0,158.09375,164.0,160.03125
CUS_0x10eb,25.625,53.375,41.0,188.21875,199.0,195.90625
CUS_0x10ee,24.0,44.25,36.0,164.4375,172.5,170.4375
CUS_0x10f9,24.625,48.5,37.0,174.1875,183.25000000000003,180.375
CUS_0x10fd,24.5,57.125,46.0,195.71875,209.25,206.46875
CUS_0x10ff,28.25,53.125,40.0,193.59375,202.75,199.46875
